Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
8370,0.29,0.13,0.48,0.14,0.33,0.12,0.31,0.12,0.31,0.12,0.30,0.13,0.29,0.18,,8370,0.80,0.30,-0.18,0.28,-0.12,0.27,,8370,0.18,0.25,0.67,0.19,-0.41,0.29
8390,0.30,0.13,0.49,0.13,0.34,0.12,0.32,0.11,0.32,0.12,0.31,0.13,0.30,0.18,,8390,0.82,0.30,-0.17,0.28,-0.11,0.27,,8390,0.20,0.24,0.67,0.19,-0.40,0.29
8410,0.31,0.13,0.50,0.13,0.34,0.12,0.33,0.11,0.32,0.12,0.31,0.13,0.31,0.18,,8410,0.83,0.31,-0.16,0.28,-0.10,0.26,,8410,0.21,0.25,0.67,0.19,-0.40,0.29
8430,0.31,0.13,0.50,0.13,0.35,0.11,0.33,0.11,0.33,0.12,0.32,0.13,0.32,0.18,,8430,0.82,0.30,-0.15,0.28,-0.09,0.26,,8430,0.21,0.25,0.68,0.19,-0.40,0.29
8450,0.32,0.13,0.51,0.13,0.35,0.11,0.33,0.11,0.33,0.12,0.32,0.13,0.32,0.18,,8450,0.82,0.30,-0.15,0.28,-0.08,0.26,,8450,0.21,0.25,0.68,0.19,-0.41,0.29
8470,0.32,0.13,0.51,0.13,0.35,0.12,0.33,0.11,0.33,0.12,0.32,0.13,0.32,0.18,,8470,0.82,0.29,-0.14,0.29,-0.08,0.25,,8470,0.22,0.25,0.69,0.19,-0.41,0.29
8490,0.32,0.13,0.51,0.14,0.35,0.12,0.33,0.12,0.33,0.12,0.32,0.13,0.32,0.18,,8490,0.82,0.30,-0.14,0.29,-0.08,0.25,,8490,0.22,0.25,0.69,0.19,-0.43,0.29
8510,0.32,0.13,0.52,0.14,0.35,0.12,0.33,0.12,0.33,0.13,0.33,0.13,0.33,0.18,,8510,0.83,0.29,-0.15,0.29,-0.08,0.25,,8510,0.22,0.25,0.70,0.19,-0.44,0.29
8530,0.33,0.13,0.52,0.14,0.35,0.12,0.33,0.12,0.33,0.13,0.33,0.13,0.33,0.18,,8530,0.85,0.29,-0.15,0.29,-0.08,0.25,,8530,0.22,0.25,0.70,0.19,-0.44,0.29
8550,0.33,0.13,0.53,0.14,0.36,0.12,0.33,0.11,0.34,0.12,0.33,0.13,0.34,0.18,,8550,0.87,0.30,-0.16,0.28,-0.07,0.25,,8550,0.22,0.25,0.71,0.19,-0.45,0.29
8570,0.34,0.13,0.53,0.14,0.36,0.12,0.34,0.11,0.34,0.12,0.34,0.13,0.34,0.18,,8570,0.89,0.30,-0.16,0.28,-0.06,0.24,,8570,0.21,0.24,0.72,0.19,-0.45,0.29
8590,0.34,0.13,0.54,0.14,0.37,0.12,0.35,0.12,0.35,0.13,0.34,0.13,0.34,0.18,,8590,0.91,0.30,-0.17,0.28,-0.05,0.24,,8590,0.21,0.24,0.72,0.18,-0.45,0.29
8610,0.34,0.13,0.54,0.14,0.37,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.35,0.18,,8610,0.93,0.30,-0.18,0.28,-0.04,0.24,,8610,0.20,0.24,0.73,0.18,-0.45,0.29
8630,0.35,0.13,0.55,0.14,0.38,0.12,0.36,0.12,0.36,0.13,0.35,0.13,0.36,0.18,,8630,0.94,0.30,-0.18,0.28,-0.03,0.25,,8630,0.20,0.24,0.74,0.18,-0.44,0.29
8650,0.36,0.13,0.55,0.14,0.38,0.12,0.36,0.12,0.36,0.13,0.36,0.13,0.36,0.18,,8650,0.95,0.29,-0.19,0.28,-0.01,0.25,,8650,0.19,0.25,0.74,0.18,-0.43,0.29
8670,0.36,0.13,0.56,0.13,0.39,0.12,0.37,0.12,0.37,0.13,0.36,0.13,0.37,0.18,,8670,0.95,0.29,-0.19,0.28,0.01,0.25,,8670,0.19,0.25,0.74,0.18,-0.42,0.29
8690,0.36,0.13,0.56,0.14,0.39,0.12,0.37,0.12,0.37,0.13,0.36,0.13,0.37,0.18,,8690,0.94,0.29,-0.19,0.28,0.03,0.25,,8690,0.18,0.25,0.75,0.18,-0.42,0.29
8710,0.36,0.13,0.56,0.14,0.39,0.12,0.37,0.12,0.37,0.13,0.37,0.13,0.37,0.18,,8710,0.93,0.29,-0.19,0.28,0.05,0.24,,8710,0.18,0.25,0.75,0.18,-0.42,0.28
8730,0.36,0.13,0.56,0.14,0.39,0.12,0.37,0.12,0.37,0.13,0.36,0.13,0.37,0.18,,8730,0.92,0.29,-0.20,0.28,0.06,0.24,,8730,0.17,0.26,0.75,0.18,-0.42,0.28
8750,0.36,0.13,0.56,0.13,0.39,0.12,0.37,0.12,0.37,0.13,0.36,0.13,0.37,0.18,,8750,0.91,0.29,-0.20,0.28,0.08,0.24,,8750,0.16,0.25,0.74,0.18,-0.42,0.28
8770,0.36,0.13,0.56,0.13,0.39,0.12,0.37,0.12,0.37,0.13,0.36,0.13,0.36,0.18,,8770,0.90,0.30,-0.20,0.28,0.09,0.24,,8770,0.16,0.25,0.74,0.18,-0.42,0.28
8790,0.36,0.13,0.56,0.13,0.39,0.12,0.36,0.12,0.37,0.13,0.36,0.13,0.36,0.18,,8790,0.89,0.30,-0.20,0.29,0.10,0.24,,8790,0.16,0.25,0.73,0.18,-0.41,0.29
8810,0.36,0.13,0.56,0.13,0.39,0.12,0.36,0.12,0.36,0.13,0.36,0.13,0.36,0.18,,8810,0.88,0.30,-0.21,0.28,0.10,0.24,,8810,0.16,0.25,0.73,0.18,-0.41,0.29
8830,0.36,0.13,0.56,0.13,0.39,0.12,0.36,0.12,0.36,0.13,0.36,0.13,0.36,0.18,,8830,0.88,0.30,-0.20,0.28,0.10,0.24,,8830,0.16,0.25,0.72,0.18,-0.40,0.29
8850,0.35,0.13,0.56,0.13,0.38,0.12,0.36,0.12,0.36,0.12,0.36,0.13,0.36,0.18,,8850,0.87,0.31,-0.20,0.28,0.10,0.24,,8850,0.16,0.24,0.71,0.18,-0.39,0.28
8870,0.35,0.13,0.56,0.13,0.38,0.12,0.36,0.12,0.36,0.13,0.35,0.13,0.36,0.18,,8870,0.86,0.31,-0.20,0.29,0.10,0.24,,8870,0.16,0.24,0.70,0.18,-0.38,0.28
8890,0.35,0.13,0.56,0.13,0.38,0.12,0.36,0.12,0.36,0.13,0.35,0.13,0.36,0.19,,8890,0.85,0.31,-0.20,0.29,0.10,0.24,,8890,0.17,0.24,0.68,0.19,-0.37,0.28
8910,0.35,0.13,0.56,0.14,0.38,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.36,0.19,,8910,0.85,0.32,-0.20,0.29,0.10,0.24,,8910,0.18,0.24,0.67,0.19,-0.36,0.29
8930,0.35,0.13,0.56,0.14,0.37,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.35,0.19,,8930,0.84,0.32,-0.20,0.29,0.09,0.24,,8930,0.18,0.24,0.66,0.19,-0.35,0.28
8950,0.34,0.13,0.56,0.14,0.37,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.35,0.19,,8950,0.83,0.32,-0.19,0.29,0.09,0.24,,8950,0.20,0.24,0.64,0.19,-0.35,0.28
8970,0.34,0.13,0.56,0.14,0.37,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.35,0.19,,8970,0.82,0.33,-0.19,0.29,0.08,0.24,,8970,0.21,0.24,0.63,0.19,-0.35,0.28
8990,0.34,0.13,0.56,0.14,0.37,0.12,0.35,0.13,0.35,0.13,0.35,0.13,0.35,0.19,,8990,0.81,0.33,-0.18,0.29,0.08,0.24,,8990,0.22,0.24,0.62,0.19,-0.35,0.29
9010,0.34,0.14,0.56,0.14,0.37,0.12,0.34,0.13,0.35,0.14,0.35,0.14,0.35,0.19,,9010,0.81,0.34,-0.18,0.28,0.07,0.24,,9010,0.23,0.24,0.61,0.19,-0.34,0.29
9030,0.34,0.13,0.56,0.14,0.36,0.12,0.34,0.13,0.35,0.13,0.34,0.13,0.35,0.19,,9030,0.81,0.34,-0.18,0.28,0.06,0.24,,9030,0.24,0.24,0.61,0.19,-0.34,0.29
9050,0.34,0.13,0.56,0.14,0.36,0.12,0.34,0.13,0.34,0.14,0.34,0.13,0.35,0.19,,9050,0.80,0.34,-0.17,0.28,0.05,0.24,,9050,0.25,0.24,0.60,0.19,-0.34,0.29
9070,0.34,0.13,0.56,0.14,0.36,0.12,0.33,0.13,0.34,0.14,0.34,0.13,0.35,0.19,,9070,0.80,0.35,-0.16,0.28,0.04,0.25,,9070,0.26,0.24,0.60,0.19,-0.34,0.29
9090,0.34,0.13,0.56,0.14,0.36,0.12,0.33,0.13,0.34,0.14,0.34,0.13,0.34,0.19,,9090,0.80,0.36,-0.16,0.28,0.03,0.25,,9090,0.26,0.25,0.59,0.19,-0.34,0.30
9110,0.34,0.13,0.56,0.14,0.36,0.12,0.33,0.13,0.34,0.14,0.34,0.13,0.34,0.19,,9110,0.80,0.37,-0.15,0.28,0.04,0.25,,9110,0.26,0.25,0.59,0.20,-0.34,0.29
9130,0.34,0.14,0.56,0.14,0.36,0.13,0.34,0.13,0.34,0.14,0.34,0.14,0.34,0.19,,9130,0.80,0.38,-0.15,0.28,0.04,0.25,,9130,0.26,0.25,0.59,0.20,-0.34,0.29
9150,0.33,0.14,0.55,0.14,0.36,0.13,0.34,0.13,0.34,0.14,0.33,0.14,0.34,0.19,,9150,0.80,0.38,-0.15,0.28,0.04,0.25,,9150,0.26,0.24,0.60,0.20,-0.35,0.29
9170,0.33,0.14,0.55,0.14,0.36,0.13,0.34,0.13,0.33,0.14,0.33,0.14,0.34,0.19,,9170,0.82,0.38,-0.15,0.28,0.05,0.26,,9170,0.25,0.24,0.60,0.20,-0.35,0.29
9190,0.33,0.14,0.55,0.14,0.37,0.13,0.34,0.13,0.33,0.14,0.33,0.14,0.34,0.19,,9190,0.83,0.38,-0.15,0.28,0.05,0.26,,9190,0.24,0.24,0.61,0.20,-0.36,0.29
9210,0.32,0.13,0.54,0.14,0.37,0.12,0.34,0.13,0.33,0.14,0.33,0.13,0.33,0.19,,9210,0.85,0.37,-0.16,0.28,0.06,0.26,,9210,0.23,0.24,0.62,0.20,-0.36,0.28
9230,0.32,0.13,0.54,0.14,0.37,0.12,0.34,0.13,0.33,0.14,0.33,0.13,0.33,0.19,,9230,0.86,0.36,-0.17,0.28,0.07,0.26,,9230,0.22,0.24,0.62,0.20,-0.37,0.28
9250,0.32,0.13,0.54,0.13,0.38,0.12,0.35,0.12,0.32,0.13,0.33,0.13,0.33,0.19,,9250,0.88,0.35,-0.17,0.28,0.08,0.26,,9250,0.21,0.24,0.64,0.20,-0.37,0.28
9270,0.32,0.13,0.54,0.13,0.38,0.12,0.35,0.12,0.32,0.13,0.33,0.13,0.33,0.18,,9270,0.90,0.34,-0.17,0.28,0.09,0.26,,9270,0.20,0.24,0.65,0.19,-0.37,0.28
9290,0.33,0.13,0.54,0.13,0.39,0.12,0.36,0.12,0.33,0.13,0.33,0.13,0.34,0.18,,9290,0.92,0.33,-0.18,0.28,0.10,0.27,,9290,0.19,0.24,0.66,0.19,-0.38,0.27
9310,0.33,0.13,0.54,0.13,0.40,0.12,0.36,0.12,0.33,0.13,0.33,0.13,0.34,0.18,,9310,0.94,0.31,-0.18,0.28,0.12,0.27,,9310,0.19,0.24,0.68,0.19,-0.38,0.27
9330,0.33,0.13,0.54,0.13,0.40,0.12,0.37,0.12,0.33,0.13,0.34,0.13,0.34,0.18,,9330,0.95,0.31,-0.19,0.27,0.13,0.26,,9330,0.18,0.25,0.69,0.19,-0.39,0.27
9350,0.34,0.13,0.54,0.13,0.40,0.12,0.37,0.12,0.34,0.13,0.34,0.13,0.34,0.18,,9350,0.97,0.31,-0.19,0.27,0.16,0.26,,9350,0.18,0.24,0.70,0.19,-0.39,0.28
9370,0.34,0.13,0.54,0.14,0.41,0.12,0.37,0.12,0.34,0.13,0.34,0.13,0.35,0.19,,9370,0.98,0.30,-0.19,0.28,0.18,0.26,,9370,0.18,0.24,0.71,0.19,-0.39,0.28
9390,0.34,0.13,0.54,0.14,0.41,0.12,0.38,0.12,0.34,0.14,0.35,0.13,0.35,0.19,,9390,0.99,0.30,-0.19,0.28,0.19,0.27,,9390,0.18,0.24,0.72,0.19,-0.39,0.28
9410,0.34,0.13,0.54,0.14,0.41,0.12,0.38,0.12,0.34,0.14,0.35,0.13,0.35,0.19,,9410,1.00,0.30,-0.19,0.28,0.20,0.27,,9410,0.18,0.24,0.73,0.19,-0.40,0.28
9430,0.35,0.13,0.54,0.14,0.41,0.12,0.38,0.12,0.35,0.13,0.35,0.13,0.35,0.18,,9430,0.99,0.30,-0.19,0.28,0.22,0.26,,9430,0.18,0.24,0.74,0.19,-0.40,0.28
9450,0.35,0.13,0.55,0.14,0.41,0.12,0.38,0.12,0.35,0.13,0.35,0.13,0.36,0.18,,9450,0.98,0.30,-0.19,0.28,0.24,0.26,,9450,0.18,0.24,0.75,0.19,-0.41,0.28
9470,0.35,0.13,0.55,0.14,0.41,0.12,0.38,0.12,0.35,0.13,0.36,0.13,0.36,0.18,,9470,0.99,0.30,-0.18,0.28,0.25,0.26,,9470,0.18,0.24,0.75,0.19,-0.42,0.28
9490,0.35,0.13,0.55,0.14,0.41,0.12,0.38,0.12,0.35,0.13,0.36,0.13,0.36,0.18,,9490,0.99,0.30,-0.18,0.28,0.26,0.25,,9490,0.18,0.24,0.75,0.19,-0.42,0.28
9510,0.35,0.13,0.55,0.14,0.41,0.11,0.38,0.11,0.35,0.13,0.36,0.13,0.36,0.18,,9510,0.99,0.30,-0.19,0.28,0.27,0.26,,9510,0.17,0.24,0.76,0.19,-0.43,0.29
9530,0.35,0.13,0.55,0.14,0.40,0.12,0.38,0.12,0.35,0.13,0.36,0.13,0.36,0.18,,9530,1.00,0.30,-0.19,0.28,0.28,0.26,,9530,0.17,0.24,0.76,0.19,-0.43,0.29
9550,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.13,0.35,0.14,0.36,0.13,0.36,0.19,,9550,1.00,0.30,-0.19,0.28,0.28,0.26,,9550,0.17,0.24,0.76,0.19,-0.44,0.29
9570,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.13,0.35,0.14,0.36,0.13,0.36,0.19,,9570,1.01,0.30,-0.19,0.28,0.29,0.26,,9570,0.16,0.24,0.76,0.19,-0.45,0.28
9590,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.12,0.35,0.14,0.36,0.13,0.36,0.18,,9590,1.02,0.31,-0.19,0.28,0.31,0.25,,9590,0.17,0.24,0.76,0.19,-0.45,0.28
9610,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.12,0.35,0.13,0.35,0.13,0.36,0.18,,9610,1.02,0.30,-0.19,0.28,0.31,0.26,,9610,0.17,0.25,0.76,0.19,-0.46,0.28
9630,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.13,0.35,0.14,0.36,0.13,0.36,0.18,,9630,1.03,0.31,-0.20,0.28,0.33,0.26,,9630,0.18,0.25,0.75,0.19,-0.47,0.28
9650,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.12,0.35,0.13,0.36,0.13,0.36,0.18,,9650,1.04,0.30,-0.20,0.28,0.34,0.26,,9650,0.18,0.25,0.75,0.19,-0.47,0.28
9670,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.13,0.35,0.14,0.35,0.13,0.36,0.18,,9670,1.04,0.30,-0.20,0.28,0.36,0.26,,9670,0.19,0.24,0.75,0.19,-0.48,0.28
9690,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.12,0.35,0.13,0.35,0.13,0.36,0.18,,9690,1.04,0.30,-0.20,0.28,0.36,0.26,,9690,0.19,0.24,0.75,0.19,-0.49,0.28
9710,0.35,0.13,0.56,0.14,0.40,0.12,0.37,0.12,0.35,0.14,0.35,0.13,0.36,0.18,,9710,1.03,0.30,-0.20,0.28,0.38,0.25,,9710,0.20,0.24,0.75,0.19,-0.50,0.29
9730,0.34,0.13,0.55,0.14,0.39,0.11,0.37,0.12,0.35,0.13,0.35,0.13,0.35,0.18,,9730,1.02,0.30,-0.20,0.28,0.37,0.25,,9730,0.20,0.24,0.75,0.19,-0.52,0.28
9750,0.34,0.13,0.55,0.13,0.39,0.11,0.37,0.12,0.35,0.13,0.35,0.13,0.35,0.18,,9750,1.01,0.30,-0.21,0.28,0.38,0.25,,9750,0.20,0.25,0.75,0.19,-0.53,0.28
9770,0.34,0.13,0.55,0.13,0.39,0.11,0.37,0.12,0.35,0.13,0.34,0.13,0.35,0.18,,9770,1.00,0.30,-0.21,0.28,0.37,0.26,,9770,0.20,0.24,0.75,0.19,-0.55,0.28
9790,0.33,0.12,0.55,0.13,0.39,0.11,0.37,0.12,0.34,0.13,0.34,0.12,0.35,0.18,,9790,0.98,0.30,-0.21,0.28,0.38,0.25,,9790,0.21,0.24,0.76,0.19,-0.56,0.28
9810,0.33,0.12,0.54,0.13,0.38,0.11,0.36,0.13,0.34,0.13,0.34,0.12,0.34,0.18,,9810,0.96,0.30,-0.20,0.28,0.38,0.24,,9810,0.21,0.24,0.76,0.19,-0.58,0.28
9830,0.33,0.13,0.54,0.14,0.38,0.12,0.36,0.13,0.34,0.14,0.34,0.13,0.34,0.18,,9830,0.95,0.30,-0.20,0.28,0.39,0.25,,9830,0.21,0.24,0.77,0.19,-0.59,0.29
9850,0.33,0.13,0.53,0.14,0.38,0.12,0.36,0.13,0.34,0.14,0.34,0.13,0.34,0.18,,9850,0.94,0.30,-0.20,0.28,0.39,0.24,,9850,0.22,0.23,0.77,0.20,-0.61,0.29
9870,0.33,0.13,0.53,0.14,0.38,0.12,0.36,0.13,0.34,0.14,0.34,0.13,0.34,0.18,,9870,0.92,0.30,-0.20,0.28,0.39,0.24,,9870,0.23,0.23,0.78,0.20,-0.62,0.29
9890,0.33,0.13,0.52,0.14,0.37,0.12,0.36,0.13,0.34,0.14,0.33,0.13,0.34,0.18,,9890,0.91,0.29,-0.20,0.28,0.39,0.24,,9890,0.23,0.23,0.78,0.20,-0.64,0.29
9910,0.32,0.13,0.51,0.14,0.37,0.12,0.35,0.13,0.33,0.14,0.33,0.13,0.33,0.19,,9910,0.90,0.30,-0.20,0.29,0.39,0.24,,9910,0.23,0.24,0.78,0.20,-0.66,0.30
9930,0.31,0.13,0.50,0.14,0.36,0.12,0.34,0.13,0.33,0.14,0.32,0.13,0.33,0.19,,9930,0.88,0.29,-0.21,0.29,0.39,0.25,,9930,0.24,0.24,0.78,0.19,-0.69,0.30
9950,0.31,0.13,0.49,0.14,0.35,0.12,0.34,0.13,0.32,0.14,0.31,0.13,0.32,0.19,,9950,0.86,0.29,-0.22,0.29,0.39,0.24,,9950,0.24,0.24,0.77,0.19,-0.71,0.30
9970,0.30,0.13,0.47,0.14,0.34,0.12,0.33,0.13,0.31,0.14,0.30,0.13,0.31,0.19,,9970,0.84,0.29,-0.22,0.30,0.39,0.24,,9970,0.23,0.24,0.77,0.19,-0.73,0.30
9990,0.29,0.13,0.46,0.14,0.33,0.12,0.32,0.13,0.30,0.14,0.29,0.13,0.30,0.19,,9990,0.81,0.29,-0.23,0.30,0.38,0.24,,9990,0.23,0.24,0.76,0.19,-0.76,0.30
10010,0.28,0.13,0.44,0.14,0.32,0.12,0.31,0.13,0.29,0.14,0.28,0.13,0.29,0.19,,10010,0.79,0.28,-0.24,0.30,0.38,0.24,,10010,0.23,0.24,0.75,0.19,-0.79,0.30
10030,0.27,0.13,0.43,0.14,0.31,0.12,0.30,0.13,0.28,0.14,0.27,0.13,0.28,0.19,,10030,0.76,0.29,-0.24,0.30,0.37,0.24,,10030,0.24,0.23,0.74,0.19,-0.81,0.30
10050,0.26,0.13,0.42,0.14,0.30,0.12,0.29,0.13,0.27,0.14,0.26,0.13,0.27,0.19,,10050,0.75,0.29,-0.24,0.30,0.36,0.24,,10050,0.24,0.24,0.72,0.20,-0.84,0.29
10070,0.24,0.13,0.40,0.14,0.28,0.12,0.28,0.13,0.26,0.14,0.25,0.13,0.26,0.19,,10070,0.72,0.29,-0.25,0.30,0.35,0.24,,10070,0.25,0.24,0.71,0.20,-0.86,0.29
10090,0.23,0.14,0.39,0.14,0.27,0.12,0.26,0.13,0.25,0.14,0.24,0.14,0.25,0.19,,10090,0.70,0.29,-0.24,0.29,0.34,0.24,,10090,0.25,0.25,0.69,0.20,-0.88,0.29
10110,0.23,0.14,0.38,0.14,0.26,0.13,0.25,0.13,0.23,0.14,0.23,0.14,0.24,0.19,,10110,0.68,0.29,-0.25,0.29,0.33,0.24,,10110,0.26,0.25,0.67,0.20,-0.90,0.29
10130,0.22,0.14,0.37,0.14,0.26,0.13,0.25,0.14,0.23,0.15,0.22,0.14,0.23,0.19,,10130,0.67,0.29,-0.24,0.29,0.32,0.24,,10130,0.27,0.25,0.65,0.21,-0.92,0.29
10150,0.21,0.14,0.37,0.14,0.25,0.13,0.24,0.14,0.22,0.15,0.21,0.14,0.22,0.19,,10150,0.65,0.30,-0.24,0.29,0.31,0.24,,10150,0.28,0.25,0.64,0.21,-0.93,0.29
10170,0.20,0.14,0.36,0.14,0.24,0.13,0.23,0.14,0.21,0.15,0.21,0.14,0.21,0.19,,10170,0.64,0.31,-0.24,0.29,0.30,0.24,,10170,0.29,0.25,0.62,0.20,-0.94,0.28
10190,0.20,0.14,0.36,0.14,0.23,0.13,0.23,0.14,0.20,0.15,0.20,0.14,0.21,0.19,,10190,0.63,0.32,-0.24,0.29,0.30,0.25,,10190,0.29,0.26,0.61,0.20,-0.96,0.29
10210,0.19,0.14,0.35,0.14,0.23,0.13,0.22,0.14,0.20,0.15,0.19,0.14,0.20,0.19,,10210,0.63,0.33,-0.24,0.30,0.30,0.24,,10210,0.29,0.26,0.60,0.20,-0.97,0.28
10230,0.18,0.14,0.34,0.14,0.22,0.13,0.21,0.14,0.18,0.15,0.18,0.14,0.19,0.19,,10230,0.63,0.34,-0.25,0.30,0.30,0.24,,10230,0.29,0.26,0.59,0.20,-0.98,0.29
10250,0.17,0.14,0.34,0.14,0.22,0.13,0.21,0.14,0.18,0.15,0.18,0.14,0.19,0.19,,10250,0.63,0.35,-0.25,0.30,0.30,0.25,,10250,0.30,0.26,0.58,0.20,-0.99,0.29
10270,0.16,0.14,0.33,0.14,0.21,0.13,0.20,0.14,0.17,0.15,0.17,0.14,0.18,0.19,,10270,0.62,0.36,-0.26,0.30,0.30,0.25,,10270,0.30,0.26,0.56,0.20,-1.00,0.29
10290,0.16,0.14,0.33,0.15,0.21,0.13,0.19,0.14,0.16,0.15,0.16,0.14,0.17,0.19,,10290,0.63,0.36,-0.27,0.30,0.30,0.26,,10290,0.30,0.26,0.55,0.20,-1.01,0.30
10310,0.15,0.14,0.32,0.15,0.20,0.12,0.19,0.14,0.15,0.15,0.15,0.14,0.16,0.19,,10310,0.63,0.35,-0.28,0.30,0.29,0.27,,10310,0.30,0.26,0.55,0.20,-1.02,0.29
10330,0.14,0.14,0.31,0.14,0.19,0.12,0.18,0.14,0.14,0.15,0.14,0.14,0.15,0.19,,10330,0.64,0.36,-0.29,0.30,0.29,0.26,,10330,0.29,0.26,0.54,0.20,-1.03,0.29
10350,0.13,0.14,0.31,0.14,0.19,0.12,0.18,0.14,0.14,0.15,0.14,0.14,0.14,0.19,,10350,0.64,0.35,-0.29,0.30,0.28,0.26,,10350,0.29,0.26,0.54,0.20,-1.05,0.29
10370,0.13,0.14,0.30,0.14,0.19,0.13,0.17,0.15,0.13,0.15,0.13,0.14,0.14,0.19,,10370,0.64,0.35,-0.30,0.30,0.27,0.27,,10370,0.28,0.26,0.55,0.21,-1.07,0.29
10390,0.12,0.14,0.29,0.14,0.18,0.13,0.16,0.15,0.12,0.16,0.12,0.14,0.13,0.20,,10390,0.62,0.35,-0.30,0.30,0.27,0.27,,10390,0.26,0.26,0.55,0.21,-1.08,0.29
10410,0.11,0.14,0.29,0.15,0.17,0.13,0.16,0.15,0.12,0.16,0.11,0.14,0.12,0.20,,10410,0.59,0.35,-0.31,0.30,0.26,0.28,,10410,0.25,0.26,0.57,0.21,-1.09,0.29
10430,0.10,0.14,0.28,0.14,0.17,0.13,0.15,0.15,0.11,0.16,0.10,0.14,0.11,0.20,,10430,0.56,0.36,-0.31,0.30,0.26,0.27,,10430,0.22,0.26,0.58,0.21,-1.10,0.30
10450,0.09,0.14,0.27,0.14,0.16,0.13,0.15,0.15,0.10,0.16,0.09,0.14,0.10,0.20,,10450,0.52,0.36,-0.32,0.31,0.25,0.27,,10450,0.20,0.26,0.60,0.21,-1.11,0.30
10470,0.09,0.14,0.27,0.14,0.16,0.13,0.15,0.15,0.10,0.16,0.09,0.14,0.09,0.20,,10470,0.50,0.36,-0.32,0.31,0.25,0.27,,10470,0.18,0.26,0.62,0.21,-1.11,0.30
10490,0.08,0.14,0.27,0.14,0.16,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.09,0.20,,10490,0.47,0.36,-0.32,0.31,0.24,0.27,,10490,0.17,0.26,0.63,0.21,-1.12,0.30
10510,0.08,0.14,0.26,0.14,0.15,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.09,0.20,,10510,0.45,0.36,-0.32,0.30,0.24,0.27,,10510,0.16,0.26,0.65,0.21,-1.12,0.30
10530,0.07,0.14,0.26,0.14,0.15,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.08,0.20,,10530,0.44,0.36,-0.33,0.31,0.23,0.27,,10530,0.15,0.26,0.66,0.21,-1.13,0.30
10550,0.07,0.14,0.26,0.14,0.15,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.08,0.20,,10550,0.44,0.36,-0.32,0.31,0.22,0.27,,10550,0.15,0.27,0.67,0.21,-1.13,0.30
10570,0.07,0.14,0.25,0.14,0.16,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.08,0.20,,10570,0.44,0.36,-0.32,0.31,0.22,0.26,,10570,0.15,0.26,0.67,0.21,-1.12,0.31
10590,0.07,0.14,0.25,0.14,0.16,0.13,0.15,0.15,0.10,0.16,0.08,0.14,0.08,0.20,,10590,0.45,0.36,-0.32,0.31,0.22,0.27,,10590,0.14,0.26,0.67,0.20,-1.11,0.31
